job_id,job_title,company,location,salary_min,salary_max,job_type,experience_level,company_size,required_skills,posted_date,company_description,salary_avg,job_title_clean,location_clean,month,day_of_week,Python,SQL,Excel,Power BI,Tableau,Machine Learning,TensorFlow,PyTorch,AWS,Azure,Google Cloud,R,JavaScript,Docker,Kubernetes,Airflow,Spark,Hadoop,DAX,Visualization,Git,Jupyter,Pandas,NumPy,total_skills
19,Data Engineer,ProductCo,Kolkata,569431,1126818,Onsite,Entry,10-50,"DAX, Tableau, Google Cloud, Python, Azure, Power BI",2026-03-18,We are a technology company focused on data analytics and AI solutions.,848124.5,Data Engineer,Kolkata,2026-03,Wednesday,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7
20,Data Scientist,DataFlow,Mumbai,595804,1836548,Onsite,Mid,50-200,"Google Cloud, SQL, Kubernetes",2026-05-03,We are a technology company focused on data analytics and AI solutions.,1216176.0,Data Scientist,Mumbai,2026-05,Sunday,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4
21,Analytics Manager,StartupXYZ,Gurgaon,768974,944832,Remote,Entry,10-50,"Azure, Power BI, Tableau, Kubernetes, Hadoop",2026-04-05,We are a technology company focused on data analytics and AI solutions.,856903.0,Analytics Manager,Gurgaon,2026-04,Sunday,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,6
22,Marketing Analyst,AI Solutions,Bangalore,622648,952999,Onsite,Entry,50-200,"Google Cloud, Excel, DAX, Python, JavaScript",2026-04-15,We are a technology company focused on data analytics and AI solutions.,787823.5,Marketing Analyst,Bangalore,2026-04,Wednesday,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,6
23,Product Analyst,StartupXYZ,Delhi,490792,1148619,Hybrid,Entry,200-500,"Machine Learning, Visualization, Tableau, Spark",2026-05-08,We are a technology company focused on data analytics and AI solutions.,819705.5,Product Analyst,Delhi,2026-05,Friday,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5
25,Marketing Analyst,CloudSystems,Delhi,334701,1553315,Onsite,Mid,50-200,"JavaScript, Airflow, Visualization, Tableau, Docker, Power BI",2026-04-13,We are a technology company focused on data analytics and AI solutions.,944008.0,Marketing Analyst,Delhi,2026-04,Monday,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,7
26,Data Engineer,CloudSystems,Hyderabad,383300,1205804,Onsite,Entry,50-200,"Power BI, Hadoop, JavaScript",2026-03-28,We are a technology company focused on data analytics and AI solutions.,794552.0,Data Engineer,Hyderabad,2026-03,Saturday,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4
27,Data Analyst,Finance Inc,Hyderabad,541249,1708182,Hybrid,Mid,500+,"TensorFlow, Power BI, Docker, SQL",2026-05-14,We are a technology company focused on data analytics and AI solutions.,1124715.5,Data Analyst,Hyderabad,2026-05,Thursday,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
30,Product Analyst,MegaCorp,Pune,542615,1893314,Onsite,Entry,200-500,"Azure, Tableau, Power BI, Docker, Python",2026-05-20,We are a technology company focused on data analytics and AI solutions.,1217964.5,Product Analyst,Pune,2026-05,Wednesday,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6
31,Marketing Analyst,DataFlow,Delhi,717090,1357685,Remote,Mid,50-200,"Python, PyTorch, Docker, Hadoop, Machine Learning",2026-04-12,We are a technology company focused on data analytics and AI solutions.,1037387.5,Marketing Analyst,Delhi,2026-04,Sunday,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6
32,BI Developer,Analytics Pro,Hyderabad,343642,1842377,Hybrid,Senior,50-200,"TensorFlow, Spark, PyTorch, Hadoop, Google Cloud",2026-04-27,We are a technology company focused on data analytics and AI solutions.,1093009.5,Bi Developer,Hyderabad,2026-04,Monday,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,6
33,Data Analyst,StartupXYZ,Pune,791036,1002332,Hybrid,Entry,200-500,"DAX, AWS, Azure, PyTorch",2026-04-17,We are a technology company focused on data analytics and AI solutions.,896684.0,Data Analyst,Pune,2026-04,Friday,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5
34,Senior Data Analyst,MegaCorp,Bangalore,627304,1182729,Hybrid,Entry,500+,"SQL, AWS, Power BI",2026-04-13,We are a technology company focused on data analytics and AI solutions.,905016.5,Senior Data Analyst,Bangalore,2026-04,Monday,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
36,Data Analyst Junior,AI Solutions,Hyderabad,665464,1868392,Onsite,Senior,50-200,"Airflow, Power BI, Docker",2026-03-24,We are a technology company focused on data analytics and AI solutions.,1266928.0,Data Analyst Junior,Hyderabad,2026-03,Tuesday,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4
39,Business Analyst,InfoTech,Mumbai,394377,1569299,Remote,Mid,50-200,"Machine Learning, SQL, Hadoop, Visualization, Airflow",2026-05-19,We are a technology company focused on data analytics and AI solutions.,981838.0,Business Analyst,Mumbai,2026-05,Tuesday,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,6
40,Marketing Analyst,StartupXYZ,Pune,591336,1806080,Onsite,Mid,50-200,"AWS, Airflow, Python",2026-05-19,We are a technology company focused on data analytics and AI solutions.,1198708.0,Marketing Analyst,Pune,2026-05,Tuesday,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
41,Research Analyst,MegaCorp,Hyderabad,608686,1171000,Hybrid,Entry,50-200,"Power BI, Kubernetes, Google Cloud",2026-04-30,We are a technology company focused on data analytics and AI solutions.,889843.0,Research Analyst,Hyderabad,2026-04,Thursday,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4
43,BI Developer,AI Solutions,Bangalore,604664,1395923,Onsite,Senior,10-50,"DAX, TensorFlow, SQL, Docker, JavaScript, Spark",2026-03-23,We are a technology company focused on data analytics and AI solutions.,1000293.5,Bi Developer,Bangalore,2026-03,Monday,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,7
44,Business Analyst,Finance Inc,Bangalore,626916,1016184,Onsite,Mid,10-50,"Machine Learning, Power BI, Tableau, PyTorch, Spark",2026-04-13,We are a technology company focused on data analytics and AI solutions.,821550.0,Business Analyst,Bangalore,2026-04,Monday,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6
45,Data Engineer,Digital Solutions,Bangalore,751978,1098090,Onsite,Senior,500+,"PyTorch, Google Cloud, DAX, Tableau, Power BI",2026-03-14,We are a technology company focused on data analytics and AI solutions.,925034.0,Data Engineer,Bangalore,2026-03,Saturday,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6
46,Business Analyst,Tech Corp,Bangalore,612250,1117348,Onsite,Senior,10-50,"Power BI, Tableau, DAX, PyTorch, Kubernetes",2026-05-23,We are a technology company focused on data analytics and AI solutions.,864799.0,Business Analyst,Bangalore,2026-05,Saturday,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6
47,Research Analyst,Tech Corp,Mumbai,381121,1789156,Remote,Entry,50-200,"Docker, Python, Spark",2026-03-13,We are a technology company focused on data analytics and AI solutions.,1085138.5,Research Analyst,Mumbai,2026-03,Friday,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4
48,Data Engineer,Analytics Pro,Bangalore,325559,892324,Onsite,Senior,10-50,"Excel, Hadoop, Machine Learning, Visualization, AWS, SQL",2026-04-17,We are a technology company focused on data analytics and AI solutions.,608941.5,Data Engineer,Bangalore,2026-04,Friday,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,7
49,BI Developer,Finance Inc,Mumbai,667739,1023536,Hybrid,Entry,10-50,"Google Cloud, PyTorch, SQL, Python, Hadoop",2026-05-13,We are a technology company focused on data analytics and AI solutions.,845637.5,Bi Developer,Mumbai,2026-05,Wednesday,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6
50,Research Analyst,InfoTech,Delhi,333742,826155,Onsite,Mid,10-50,"Python, Azure, AWS, R, PyTorch, JavaScript",2026-04-16,We are a technology company focused on data analytics and AI solutions.,579948.5,Research Analyst,Delhi,2026-04,Thursday,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6
51,Data Scientist,DataFlow,Mumbai,631813,1141815,Onsite,Entry,10-50,"Spark, Tableau, Visualization, Python, JavaScript, SQL",2026-04-13,We are a technology company focused on data analytics and AI solutions.,886814.0,Data Scientist,Mumbai,2026-04,Monday,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,7
53,BI Developer,Finance Inc,Mumbai,452826,949381,Hybrid,Mid,50-200,"Machine Learning, AWS, Spark, DAX",2026-06-03,We are a technology company focused on data analytics and AI solutions.,701103.5,Bi Developer,Mumbai,2026-06,Wednesday,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5
57,BI Developer,CloudSystems,Mumbai,341873,1737841,Onsite,Entry,50-200,"Tableau, Machine Learning, Airflow, Hadoop",2026-03-10,We are a technology company focused on data analytics and AI solutions.,1039857.0,Bi Developer,Mumbai,2026-03,Tuesday,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,5
58,Data Analyst Junior,InfoTech,Bangalore,787877,1546788,Remote,Entry,50-200,"Python, Excel, AWS, Visualization",2026-05-10,We are a technology company focused on data analytics and AI solutions.,1167332.5,Data Analyst Junior,Bangalore,2026-05,Sunday,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
60,Data Scientist,Analytics Pro,Bangalore,688411,970102,Remote,Mid,50-200,"Tableau, Excel, Azure, Visualization, SQL, Power BI",2026-03-23,We are a technology company focused on data analytics and AI solutions.,829256.5,Data Scientist,Bangalore,2026-03,Monday,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7
61,ML Engineer,Analytics Pro,Gurgaon,703119,1194274,Onsite,Senior,50-200,"SQL, AWS, JavaScript, Azure, Power BI, Spark",2026-03-23,We are a technology company focused on data analytics and AI solutions.,948696.5,Ml Engineer,Gurgaon,2026-03,Monday,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,7
64,Research Analyst,DataFirst,Bangalore,648100,1822788,Hybrid,Mid,500+,"Airflow, Python, DAX, SQL, Azure",2026-03-17,We are a technology company focused on data analytics and AI solutions.,1235444.0,Research Analyst,Bangalore,2026-03,Tuesday,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6
65,Marketing Analyst,AI Solutions,Bangalore,386988,1650610,Onsite,Mid,50-200,"SQL, Python, Tableau, Machine Learning, Kubernetes, JavaScript",2026-04-14,We are a technology company focused on data analytics and AI solutions.,1018799.0,Marketing Analyst,Bangalore,2026-04,Tuesday,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7
67,Business Analyst,Finance Inc,Hyderabad,796753,1743115,Hybrid,Entry,50-200,"Airflow, Kubernetes, SQL",2026-05-20,We are a technology company focused on data analytics and AI solutions.,1269934.0,Business Analyst,Hyderabad,2026-05,Wednesday,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4
68,Data Analyst,AI Solutions,Pune,425991,1980887,Hybrid,Mid,50-200,"Airflow, PyTorch, Visualization, Power BI, Python",2026-04-15,We are a technology company focused on data analytics and AI solutions.,1203439.0,Data Analyst,Pune,2026-04,Wednesday,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6
69,ML Engineer,Finance Inc,Hyderabad,702732,1045546,Hybrid,Senior,10-50,"Python, TensorFlow, Google Cloud, R, Kubernetes",2026-03-25,We are a technology company focused on data analytics and AI solutions.,874139.0,Ml Engineer,Hyderabad,2026-03,Wednesday,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5
72,ML Engineer,CloudSystems,Hyderabad,384082,946470,Hybrid,Senior,50-200,"PyTorch, JavaScript, AWS, SQL",2026-04-25,We are a technology company focused on data analytics and AI solutions.,665276.0,Ml Engineer,Hyderabad,2026-04,Saturday,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5
73,Data Scientist,MegaCorp,Delhi,712345,1444318,Onsite,Senior,500+,"Google Cloud, Power BI, Hadoop, AWS",2026-03-30,We are a technology company focused on data analytics and AI solutions.,1078331.5,Data Scientist,Delhi,2026-03,Monday,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5
74,Product Analyst,Analytics Pro,Kolkata,428322,1855146,Hybrid,Senior,10-50,"PyTorch, Docker, Hadoop",2026-04-26,We are a technology company focused on data analytics and AI solutions.,1141734.0,Product Analyst,Kolkata,2026-04,Sunday,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4
75,Product Analyst,CloudSystems,Chennai,432663,1130929,Onsite,Mid,10-50,"PyTorch, DAX, Excel, AWS",2026-03-22,We are a technology company focused on data analytics and AI solutions.,781796.0,Product Analyst,Chennai,2026-03,Sunday,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5
76,Data Analyst Junior,CloudSystems,Mumbai,311303,879141,Remote,Mid,10-50,"Power BI, Python, DAX, Visualization",2026-05-18,We are a technology company focused on data analytics and AI solutions.,595222.0,Data Analyst Junior,Mumbai,2026-05,Monday,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5
77,ML Engineer,CloudSystems,Chennai,461633,812115,Hybrid,Mid,500+,"AWS, Tableau, Python, Google Cloud, JavaScript",2026-05-28,We are a technology company focused on data analytics and AI solutions.,636874.0,Ml Engineer,Chennai,2026-05,Thursday,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6
78,Product Analyst,DataFirst,Hyderabad,633863,1887638,Remote,Mid,50-200,"Spark, Google Cloud, Power BI",2026-04-26,We are a technology company focused on data analytics and AI solutions.,1260750.5,Product Analyst,Hyderabad,2026-04,Sunday,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4
81,Marketing Analyst,TechVision,Delhi,559820,1630185,Onsite,Mid,200-500,"Python, Machine Learning, Power BI, Google Cloud, Tableau, Airflow",2026-04-14,We are a technology company focused on data analytics and AI solutions.,1095002.5,Marketing Analyst,Delhi,2026-04,Tuesday,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,7
83,Data Analyst Junior,StartupXYZ,Delhi,686309,1970439,Hybrid,Entry,200-500,"Hadoop, AWS, Airflow, Python, Google Cloud",2026-04-29,We are a technology company focused on data analytics and AI solutions.,1328374.0,Data Analyst Junior,Delhi,2026-04,Wednesday,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,6
84,ML Engineer,CloudSystems,Mumbai,386231,1596657,Onsite,Mid,200-500,"Azure, Spark, Power BI, Kubernetes, Visualization, Tableau",2026-04-01,We are a technology company focused on data analytics and AI solutions.,991444.0,Ml Engineer,Mumbai,2026-04,Wednesday,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,7
86,Research Analyst,AI Solutions,Pune,319623,1825799,Hybrid,Senior,10-50,"TensorFlow, Python, PyTorch",2026-05-22,We are a technology company focused on data analytics and AI solutions.,1072711.0,Research Analyst,Pune,2026-05,Friday,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
88,BI Developer,InfoTech,Gurgaon,790042,1844257,Hybrid,Entry,50-200,"Docker, Power BI, Kubernetes, Google Cloud",2026-05-14,We are a technology company focused on data analytics and AI solutions.,1317149.5,Bi Developer,Gurgaon,2026-05,Thursday,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,5
90,Data Engineer,MegaCorp,Hyderabad,776840,1764918,Hybrid,Mid,50-200,"Visualization, Machine Learning, JavaScript, Python, DAX, Google Cloud",2026-05-27,We are a technology company focused on data analytics and AI solutions.,1270879.0,Data Engineer,Hyderabad,2026-05,Wednesday,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,7
91,Data Scientist,StartupXYZ,Delhi,405228,1296758,Onsite,Mid,10-50,"R, Machine Learning, Python, SQL, TensorFlow",2026-04-17,We are a technology company focused on data analytics and AI solutions.,850993.0,Data Scientist,Delhi,2026-04,Friday,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
92,Data Engineer,TechVision,Mumbai,726346,1995225,Hybrid,Mid,10-50,"Hadoop, Google Cloud, Python, R, Machine Learning",2026-03-11,We are a technology company focused on data analytics and AI solutions.,1360785.5,Data Engineer,Mumbai,2026-03,Wednesday,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5
93,Analytics Manager,DataFlow,Delhi,482828,1973930,Remote,Entry,200-500,"AWS, Python, Visualization, DAX",2026-04-22,We are a technology company focused on data analytics and AI solutions.,1228379.0,Analytics Manager,Delhi,2026-04,Wednesday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
94,Data Analyst Junior,Analytics Pro,Delhi,659768,1412297,Onsite,Mid,10-50,"Tableau, SQL, PyTorch, Google Cloud",2026-04-12,We are a technology company focused on data analytics and AI solutions.,1036032.5,Data Analyst Junior,Delhi,2026-04,Sunday,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5
95,BI Developer,TechVision,Hyderabad,457364,1248625,Remote,Mid,50-200,"Hadoop, R, Tableau, Kubernetes, AWS",2026-03-11,We are a technology company focused on data analytics and AI solutions.,852994.5,Bi Developer,Hyderabad,2026-03,Wednesday,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5
96,Marketing Analyst,StartupXYZ,Bangalore,673929,828625,Onsite,Mid,50-200,"Python, Visualization, DAX, Power BI",2026-05-08,We are a technology company focused on data analytics and AI solutions.,751277.0,Marketing Analyst,Bangalore,2026-05,Friday,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5
97,Marketing Analyst,CloudSystems,Gurgaon,648350,1536400,Remote,Mid,10-50,"Google Cloud, Visualization, SQL, Airflow, Spark, DAX",2026-05-16,We are a technology company focused on data analytics and AI solutions.,1092375.0,Marketing Analyst,Gurgaon,2026-05,Saturday,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,7
99,BI Developer,TechVision,Mumbai,433541,1288011,Hybrid,Entry,10-50,"JavaScript, AWS, R, Python, Tableau, Hadoop",2026-04-15,We are a technology company focused on data analytics and AI solutions.,860776.0,Bi Developer,Mumbai,2026-04,Wednesday,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,6
100,Data Analyst,MegaCorp,Bangalore,353947,1230424,Remote,Lead,50-200,"Azure, Excel, Power BI, Google Cloud, DAX, PyTorch",2026-04-14,We are a technology company focused on data analytics and AI solutions.,792185.5,Data Analyst,Bangalore,2026-04,Tuesday,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7
101,BI Developer,Finance Inc,Bangalore,453606,1116205,Remote,Mid,50-200,"TensorFlow, Kubernetes, Python, R, Airflow",2026-04-22,We are a technology company focused on data analytics and AI solutions.,784905.5,Bi Developer,Bangalore,2026-04,Wednesday,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5
102,Research Analyst,Tech Corp,Mumbai,494692,1748163,Remote,Mid,10-50,"Visualization, R, Kubernetes",2026-04-14,We are a technology company focused on data analytics and AI solutions.,1121427.5,Research Analyst,Mumbai,2026-04,Tuesday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
103,BI Developer,Finance Inc,Mumbai,348874,1847328,Onsite,Entry,10-50,"Excel, DAX, Tableau, Spark",2026-03-27,We are a technology company focused on data analytics and AI solutions.,1098101.0,Bi Developer,Mumbai,2026-03,Friday,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5
105,Data Analyst,AI Solutions,Delhi,374553,1633487,Hybrid,Entry,500+,"Python, AWS, Tableau",2026-03-24,We are a technology company focused on data analytics and AI solutions.,1004020.0,Data Analyst,Delhi,2026-03,Tuesday,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
107,Analytics Manager,ResearchLab,Hyderabad,611282,958056,Onsite,Lead,200-500,"PyTorch, R, JavaScript, SQL, Visualization, Google Cloud",2026-03-16,We are a technology company focused on data analytics and AI solutions.,784669.0,Analytics Manager,Hyderabad,2026-03,Monday,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,6
