job_id,job_title,company,location,salary_min,salary_max,job_type,experience_level,company_size,required_skills,posted_date,company_description,salary_avg
19,Data Engineer,ProductCo,Kolkata,569431,1126818,Onsite,Entry,10-50,"DAX, Tableau, Google Cloud, Python, Azure, Power BI",2026-03-18,We are a technology company focused on data analytics and AI solutions.,848124.5
20,Data Scientist,DataFlow,Mumbai,595804,1836548,Onsite,Mid,50-200,"Google Cloud, SQL, Kubernetes",2026-05-03,We are a technology company focused on data analytics and AI solutions.,1216176.0
21,Analytics Manager,StartupXYZ,Gurgaon,768974,944832,Remote,Entry,10-50,"Azure, Power BI, Tableau, Kubernetes, Hadoop",2026-04-05,We are a technology company focused on data analytics and AI solutions.,856903.0
22,Marketing Analyst,AI Solutions,Bangalore,622648,952999,Onsite,Entry,50-200,"Google Cloud, Excel, DAX, Python, JavaScript",2026-04-15,We are a technology company focused on data analytics and AI solutions.,787823.5
23,Product Analyst,StartupXYZ,Delhi,490792,1148619,Hybrid,Entry,200-500,"Machine Learning, Visualization, Tableau, Spark",2026-05-08,We are a technology company focused on data analytics and AI solutions.,819705.5
24,Data Scientist,SmartAnalytics,Mumbai,402979,861367,Hybrid,Mid,10-50,"R, Machine Learning, AWS",2026-05-10,We are a technology company focused on data analytics and AI solutions.,632173.0
25,Marketing Analyst,CloudSystems,Delhi,334701,1553315,Onsite,Mid,50-200,"JavaScript, Airflow, Visualization, Tableau, Docker, Power BI",2026-04-13,We are a technology company focused on data analytics and AI solutions.,944008.0
26,Data Engineer,CloudSystems,Hyderabad,383300,1205804,Onsite,Entry,50-200,"Power BI, Hadoop, JavaScript",2026-03-28,We are a technology company focused on data analytics and AI solutions.,794552.0
27,Data Analyst,Finance Inc,Hyderabad,541249,1708182,Hybrid,Mid,500+,"TensorFlow, Power BI, Docker, SQL",2026-05-14,We are a technology company focused on data analytics and AI solutions.,1124715.5
28,Marketing Analyst,CloudSystems,Hyderabad,448746,1557038,Remote,Mid,500+,"Airflow, PyTorch, JavaScript, AWS, Google Cloud",2026-05-17,We are a technology company focused on data analytics and AI solutions.,1002892.0
29,Data Analyst Junior,Tech Corp,Delhi,383560,1704586,Remote,Mid,10-50,"TensorFlow, JavaScript, Tableau, Machine Learning, DAX, Hadoop",2026-04-26,We are a technology company focused on data analytics and AI solutions.,1044073.0
30,Product Analyst,MegaCorp,Pune,542615,1893314,Onsite,Entry,200-500,"Azure, Tableau, Power BI, Docker, Python",2026-05-20,We are a technology company focused on data analytics and AI solutions.,1217964.5
31,Marketing Analyst,DataFlow,Delhi,717090,1357685,Remote,Mid,50-200,"Python, PyTorch, Docker, Hadoop, Machine Learning",2026-04-12,We are a technology company focused on data analytics and AI solutions.,1037387.5
32,BI Developer,Analytics Pro,Hyderabad,343642,1842377,Hybrid,Senior,50-200,"TensorFlow, Spark, PyTorch, Hadoop, Google Cloud",2026-04-27,We are a technology company focused on data analytics and AI solutions.,1093009.5
33,Data Analyst,StartupXYZ,Pune,791036,1002332,Hybrid,Entry,200-500,"DAX, AWS, Azure, PyTorch",2026-04-17,We are a technology company focused on data analytics and AI solutions.,896684.0
34,Senior Data Analyst,MegaCorp,Bangalore,627304,1182729,Hybrid,Entry,500+,"SQL, AWS, Power BI",2026-04-13,We are a technology company focused on data analytics and AI solutions.,905016.5
35,Senior Data Analyst,ResearchLab,Bangalore,579746,1960029,Hybrid,Mid,500+,"Tableau, JavaScript, Docker, Excel, DAX, AWS",2026-03-08,We are a technology company focused on data analytics and AI solutions.,1269887.5
36,Data Analyst Junior,AI Solutions,Hyderabad,665464,1868392,Onsite,Senior,50-200,"Airflow, Power BI, Docker",2026-03-24,We are a technology company focused on data analytics and AI solutions.,1266928.0
37,Marketing Analyst,Tech Corp,Delhi,388801,1759744,Remote,Mid,50-200,"Azure, Google Cloud, AWS",2026-05-07,We are a technology company focused on data analytics and AI solutions.,1074272.5
38,Marketing Analyst,Digital Solutions,Hyderabad,588075,1723780,Remote,Mid,200-500,"Airflow, TensorFlow, AWS, Excel",2026-03-11,We are a technology company focused on data analytics and AI solutions.,1155927.5
39,Business Analyst,InfoTech,Mumbai,394377,1569299,Remote,Mid,50-200,"Machine Learning, SQL, Hadoop, Visualization, Airflow",2026-05-19,We are a technology company focused on data analytics and AI solutions.,981838.0
40,Marketing Analyst,StartupXYZ,Pune,591336,1806080,Onsite,Mid,50-200,"AWS, Airflow, Python",2026-05-19,We are a technology company focused on data analytics and AI solutions.,1198708.0
41,Research Analyst,MegaCorp,Hyderabad,608686,1171000,Hybrid,Entry,50-200,"Power BI, Kubernetes, Google Cloud",2026-04-30,We are a technology company focused on data analytics and AI solutions.,889843.0
42,ML Engineer,Digital Solutions,Mumbai,689159,1013567,Remote,Mid,200-500,"Kubernetes, Excel, Docker, Airflow",2026-05-18,We are a technology company focused on data analytics and AI solutions.,851363.0
43,BI Developer,AI Solutions,Bangalore,604664,1395923,Onsite,Senior,10-50,"DAX, TensorFlow, SQL, Docker, JavaScript, Spark",2026-03-23,We are a technology company focused on data analytics and AI solutions.,1000293.5
44,Business Analyst,Finance Inc,Bangalore,626916,1016184,Onsite,Mid,10-50,"Machine Learning, Power BI, Tableau, PyTorch, Spark",2026-04-13,We are a technology company focused on data analytics and AI solutions.,821550.0
45,Data Engineer,Digital Solutions,Bangalore,751978,1098090,Onsite,Senior,500+,"PyTorch, Google Cloud, DAX, Tableau, Power BI",2026-03-14,We are a technology company focused on data analytics and AI solutions.,925034.0
46,Business Analyst,Tech Corp,Bangalore,612250,1117348,Onsite,Senior,10-50,"Power BI, Tableau, DAX, PyTorch, Kubernetes",2026-05-23,We are a technology company focused on data analytics and AI solutions.,864799.0
47,Research Analyst,Tech Corp,Mumbai,381121,1789156,Remote,Entry,50-200,"Docker, Python, Spark",2026-03-13,We are a technology company focused on data analytics and AI solutions.,1085138.5
48,Data Engineer,Analytics Pro,Bangalore,325559,892324,Onsite,Senior,10-50,"Excel, Hadoop, Machine Learning, Visualization, AWS, SQL",2026-04-17,We are a technology company focused on data analytics and AI solutions.,608941.5
49,BI Developer,Finance Inc,Mumbai,667739,1023536,Hybrid,Entry,10-50,"Google Cloud, PyTorch, SQL, Python, Hadoop",2026-05-13,We are a technology company focused on data analytics and AI solutions.,845637.5
50,Research Analyst,InfoTech,Delhi,333742,826155,Onsite,Mid,10-50,"Python, Azure, AWS, R, PyTorch, JavaScript",2026-04-16,We are a technology company focused on data analytics and AI solutions.,579948.5
51,Data Scientist,DataFlow,Mumbai,631813,1141815,Onsite,Entry,10-50,"Spark, Tableau, Visualization, Python, JavaScript, SQL",2026-04-13,We are a technology company focused on data analytics and AI solutions.,886814.0
52,ML Engineer,Digital Solutions,Mumbai,773415,1260494,Onsite,Entry,500+,"Google Cloud, Spark, PyTorch, Machine Learning, Docker",2026-03-17,We are a technology company focused on data analytics and AI solutions.,1016954.5
53,BI Developer,Finance Inc,Mumbai,452826,949381,Hybrid,Mid,50-200,"Machine Learning, AWS, Spark, DAX",2026-06-03,We are a technology company focused on data analytics and AI solutions.,701103.5
54,Marketing Analyst,Tech Corp,Bangalore,435044,1980267,Remote,Entry,500+,"DAX, Kubernetes, JavaScript, Machine Learning",2026-03-30,We are a technology company focused on data analytics and AI solutions.,1207655.5
55,Data Scientist,Tech Corp,Bangalore,632975,1243324,Hybrid,Mid,50-200,"Spark, Airflow, Tableau, Kubernetes, TensorFlow",2026-04-01,We are a technology company focused on data analytics and AI solutions.,938149.5
56,Data Analyst Junior,MegaCorp,Chennai,412217,834707,Onsite,Mid,50-200,"Airflow, R, TensorFlow, Hadoop, Spark, Excel",2026-05-27,We are a technology company focused on data analytics and AI solutions.,623462.0
57,BI Developer,CloudSystems,Mumbai,341873,1737841,Onsite,Entry,50-200,"Tableau, Machine Learning, Airflow, Hadoop",2026-03-10,We are a technology company focused on data analytics and AI solutions.,1039857.0
58,Data Analyst Junior,InfoTech,Bangalore,787877,1546788,Remote,Entry,50-200,"Python, Excel, AWS, Visualization",2026-05-10,We are a technology company focused on data analytics and AI solutions.,1167332.5
59,Data Engineer,Digital Solutions,Bangalore,668676,1153299,Remote,Mid,200-500,"Airflow, Google Cloud, R, TensorFlow",2026-03-30,We are a technology company focused on data analytics and AI solutions.,910987.5
60,Data Scientist,Analytics Pro,Bangalore,688411,970102,Remote,Mid,50-200,"Tableau, Excel, Azure, Visualization, SQL, Power BI",2026-03-23,We are a technology company focused on data analytics and AI solutions.,829256.5
61,ML Engineer,Analytics Pro,Gurgaon,703119,1194274,Onsite,Senior,50-200,"SQL, AWS, JavaScript, Azure, Power BI, Spark",2026-03-23,We are a technology company focused on data analytics and AI solutions.,948696.5
62,Marketing Analyst,Digital Solutions,Hyderabad,434092,1017285,Onsite,Mid,500+,"Azure, Spark, DAX",2026-03-19,We are a technology company focused on data analytics and AI solutions.,725688.5
63,Marketing Analyst,SmartAnalytics,Bangalore,603899,1558842,Remote,Senior,500+,"Google Cloud, TensorFlow, Airflow, AWS, R, Hadoop",2026-03-26,We are a technology company focused on data analytics and AI solutions.,1081370.5
64,Research Analyst,DataFirst,Bangalore,648100,1822788,Hybrid,Mid,500+,"Airflow, Python, DAX, SQL, Azure",2026-03-17,We are a technology company focused on data analytics and AI solutions.,1235444.0
65,Marketing Analyst,AI Solutions,Bangalore,386988,1650610,Onsite,Mid,50-200,"SQL, Python, Tableau, Machine Learning, Kubernetes, JavaScript",2026-04-14,We are a technology company focused on data analytics and AI solutions.,1018799.0
66,Analytics Manager,Analytics Pro,Pune,345648,1096141,Onsite,Mid,200-500,"Kubernetes, Airflow, AWS, Tableau",2026-04-12,We are a technology company focused on data analytics and AI solutions.,720894.5
67,Business Analyst,Finance Inc,Hyderabad,796753,1743115,Hybrid,Entry,50-200,"Airflow, Kubernetes, SQL",2026-05-20,We are a technology company focused on data analytics and AI solutions.,1269934.0
68,Data Analyst,AI Solutions,Pune,425991,1980887,Hybrid,Mid,50-200,"Airflow, PyTorch, Visualization, Power BI, Python",2026-04-15,We are a technology company focused on data analytics and AI solutions.,1203439.0
69,ML Engineer,Finance Inc,Hyderabad,702732,1045546,Hybrid,Senior,10-50,"Python, TensorFlow, Google Cloud, R, Kubernetes",2026-03-25,We are a technology company focused on data analytics and AI solutions.,874139.0
70,Data Scientist,ResearchLab,Pune,677149,1451233,Remote,Mid,50-200,"R, Excel, Google Cloud, Docker, Tableau",2026-03-21,We are a technology company focused on data analytics and AI solutions.,1064191.0
71,Analytics Manager,Tech Corp,Hyderabad,302396,1841592,Hybrid,Senior,10-50,"Spark, Airflow, Machine Learning",2026-04-27,We are a technology company focused on data analytics and AI solutions.,1071994.0
72,ML Engineer,CloudSystems,Hyderabad,384082,946470,Hybrid,Senior,50-200,"PyTorch, JavaScript, AWS, SQL",2026-04-25,We are a technology company focused on data analytics and AI solutions.,665276.0
73,Data Scientist,MegaCorp,Delhi,712345,1444318,Onsite,Senior,500+,"Google Cloud, Power BI, Hadoop, AWS",2026-03-30,We are a technology company focused on data analytics and AI solutions.,1078331.5
74,Product Analyst,Analytics Pro,Kolkata,428322,1855146,Hybrid,Senior,10-50,"PyTorch, Docker, Hadoop",2026-04-26,We are a technology company focused on data analytics and AI solutions.,1141734.0
75,Product Analyst,CloudSystems,Chennai,432663,1130929,Onsite,Mid,10-50,"PyTorch, DAX, Excel, AWS",2026-03-22,We are a technology company focused on data analytics and AI solutions.,781796.0
76,Data Analyst Junior,CloudSystems,Mumbai,311303,879141,Remote,Mid,10-50,"Power BI, Python, DAX, Visualization",2026-05-18,We are a technology company focused on data analytics and AI solutions.,595222.0
77,ML Engineer,CloudSystems,Chennai,461633,812115,Hybrid,Mid,500+,"AWS, Tableau, Python, Google Cloud, JavaScript",2026-05-28,We are a technology company focused on data analytics and AI solutions.,636874.0
78,Product Analyst,DataFirst,Hyderabad,633863,1887638,Remote,Mid,50-200,"Spark, Google Cloud, Power BI",2026-04-26,We are a technology company focused on data analytics and AI solutions.,1260750.5
79,Data Scientist,AI Solutions,Kolkata,549690,1609343,Remote,Mid,50-200,"Google Cloud, Kubernetes, Hadoop, Machine Learning, Tableau",2026-03-28,We are a technology company focused on data analytics and AI solutions.,1079516.5
80,Data Analyst Junior,Finance Inc,Bangalore,785324,1190479,Onsite,Senior,200-500,"Machine Learning, TensorFlow, DAX, Visualization",2026-04-30,We are a technology company focused on data analytics and AI solutions.,987901.5
81,Marketing Analyst,TechVision,Delhi,559820,1630185,Onsite,Mid,200-500,"Python, Machine Learning, Power BI, Google Cloud, Tableau, Airflow",2026-04-14,We are a technology company focused on data analytics and AI solutions.,1095002.5
82,Data Scientist,ResearchLab,Pune,399616,1197686,Remote,Mid,50-200,"Kubernetes, Spark, Hadoop, Tableau",2026-04-18,We are a technology company focused on data analytics and AI solutions.,798651.0
83,Data Analyst Junior,StartupXYZ,Delhi,686309,1970439,Hybrid,Entry,200-500,"Hadoop, AWS, Airflow, Python, Google Cloud",2026-04-29,We are a technology company focused on data analytics and AI solutions.,1328374.0
84,ML Engineer,CloudSystems,Mumbai,386231,1596657,Onsite,Mid,200-500,"Azure, Spark, Power BI, Kubernetes, Visualization, Tableau",2026-04-01,We are a technology company focused on data analytics and AI solutions.,991444.0
85,Analytics Manager,DataFlow,Bangalore,569458,1447296,Remote,Entry,200-500,"Visualization, Airflow, DAX",2026-03-07,We are a technology company focused on data analytics and AI solutions.,1008377.0
86,Research Analyst,AI Solutions,Pune,319623,1825799,Hybrid,Senior,10-50,"TensorFlow, Python, PyTorch",2026-05-22,We are a technology company focused on data analytics and AI solutions.,1072711.0
87,Marketing Analyst,Analytics Pro,Hyderabad,498747,1600101,Onsite,Mid,500+,"Docker, Machine Learning, TensorFlow",2026-05-17,We are a technology company focused on data analytics and AI solutions.,1049424.0
88,BI Developer,InfoTech,Gurgaon,790042,1844257,Hybrid,Entry,50-200,"Docker, Power BI, Kubernetes, Google Cloud",2026-05-14,We are a technology company focused on data analytics and AI solutions.,1317149.5
89,Analytics Manager,Analytics Pro,Delhi,758298,848320,Remote,Entry,50-200,"Excel, Hadoop, Machine Learning, Docker",2026-03-31,We are a technology company focused on data analytics and AI solutions.,803309.0
90,Data Engineer,MegaCorp,Hyderabad,776840,1764918,Hybrid,Mid,50-200,"Visualization, Machine Learning, JavaScript, Python, DAX, Google Cloud",2026-05-27,We are a technology company focused on data analytics and AI solutions.,1270879.0
91,Data Scientist,StartupXYZ,Delhi,405228,1296758,Onsite,Mid,10-50,"R, Machine Learning, Python, SQL, TensorFlow",2026-04-17,We are a technology company focused on data analytics and AI solutions.,850993.0
92,Data Engineer,TechVision,Mumbai,726346,1995225,Hybrid,Mid,10-50,"Hadoop, Google Cloud, Python, R, Machine Learning",2026-03-11,We are a technology company focused on data analytics and AI solutions.,1360785.5
93,Analytics Manager,DataFlow,Delhi,482828,1973930,Remote,Entry,200-500,"AWS, Python, Visualization, DAX",2026-04-22,We are a technology company focused on data analytics and AI solutions.,1228379.0
94,Data Analyst Junior,Analytics Pro,Delhi,659768,1412297,Onsite,Mid,10-50,"Tableau, SQL, PyTorch, Google Cloud",2026-04-12,We are a technology company focused on data analytics and AI solutions.,1036032.5
95,BI Developer,TechVision,Hyderabad,457364,1248625,Remote,Mid,50-200,"Hadoop, R, Tableau, Kubernetes, AWS",2026-03-11,We are a technology company focused on data analytics and AI solutions.,852994.5
96,Marketing Analyst,StartupXYZ,Bangalore,673929,828625,Onsite,Mid,50-200,"Python, Visualization, DAX, Power BI",2026-05-08,We are a technology company focused on data analytics and AI solutions.,751277.0
97,Marketing Analyst,CloudSystems,Gurgaon,648350,1536400,Remote,Mid,10-50,"Google Cloud, Visualization, SQL, Airflow, Spark, DAX",2026-05-16,We are a technology company focused on data analytics and AI solutions.,1092375.0
98,Marketing Analyst,DataFlow,Bangalore,369274,1885063,Onsite,Mid,500+,"TensorFlow, Hadoop, Airflow, Machine Learning, Docker, R",2026-05-12,We are a technology company focused on data analytics and AI solutions.,1127168.5
99,BI Developer,TechVision,Mumbai,433541,1288011,Hybrid,Entry,10-50,"JavaScript, AWS, R, Python, Tableau, Hadoop",2026-04-15,We are a technology company focused on data analytics and AI solutions.,860776.0
100,Data Analyst,MegaCorp,Bangalore,353947,1230424,Remote,Lead,50-200,"Azure, Excel, Power BI, Google Cloud, DAX, PyTorch",2026-04-14,We are a technology company focused on data analytics and AI solutions.,792185.5
101,BI Developer,Finance Inc,Bangalore,453606,1116205,Remote,Mid,50-200,"TensorFlow, Kubernetes, Python, R, Airflow",2026-04-22,We are a technology company focused on data analytics and AI solutions.,784905.5
102,Research Analyst,Tech Corp,Mumbai,494692,1748163,Remote,Mid,10-50,"Visualization, R, Kubernetes",2026-04-14,We are a technology company focused on data analytics and AI solutions.,1121427.5
103,BI Developer,Finance Inc,Mumbai,348874,1847328,Onsite,Entry,10-50,"Excel, DAX, Tableau, Spark",2026-03-27,We are a technology company focused on data analytics and AI solutions.,1098101.0
104,Analytics Manager,StartupXYZ,Hyderabad,349708,901376,Onsite,Mid,200-500,"Kubernetes, Excel, Visualization, JavaScript, Hadoop",2026-04-24,We are a technology company focused on data analytics and AI solutions.,625542.0
105,Data Analyst,AI Solutions,Delhi,374553,1633487,Hybrid,Entry,500+,"Python, AWS, Tableau",2026-03-24,We are a technology company focused on data analytics and AI solutions.,1004020.0
106,Marketing Analyst,Tech Corp,Hyderabad,368344,1567629,Hybrid,Mid,10-50,"Visualization, Kubernetes, TensorFlow, R",2026-05-24,We are a technology company focused on data analytics and AI solutions.,967986.5
107,Analytics Manager,ResearchLab,Hyderabad,611282,958056,Onsite,Lead,200-500,"PyTorch, R, JavaScript, SQL, Visualization, Google Cloud",2026-03-16,We are a technology company focused on data analytics and AI solutions.,784669.0
108,Analytics Manager,MegaCorp,Hyderabad,485374,1434457,Onsite,Mid,200-500,"R, Visualization, Tableau, Azure, SQL",2026-03-08,We are a technology company focused on data analytics and AI solutions.,959915.5
109,Senior Data Analyst,ResearchLab,Hyderabad,347638,1360347,Hybrid,Entry,200-500,"R, Azure, Airflow",2026-03-11,We are a technology company focused on data analytics and AI solutions.,853992.5
110,Business Analyst,DataFirst,Bangalore,378249,1262785,Hybrid,Entry,50-200,"Spark, Azure, Google Cloud",2026-04-13,We are a technology company focused on data analytics and AI solutions.,820517.0
111,Data Analyst,DataFlow,Mumbai,668009,1832766,Hybrid,Mid,50-200,"PyTorch, Tableau, Docker, R, Hadoop, Airflow",2026-05-12,We are a technology company focused on data analytics and AI solutions.,1250387.5
112,Analytics Manager,Digital Solutions,Pune,302719,1329992,Hybrid,Entry,50-200,"AWS, Power BI, R",2026-04-16,We are a technology company focused on data analytics and AI solutions.,816355.5
113,Business Analyst,Tech Corp,Hyderabad,453962,1778080,Remote,Entry,200-500,"Tableau, Excel, Spark, Airflow, Kubernetes",2026-04-27,We are a technology company focused on data analytics and AI solutions.,1116021.0
114,Business Analyst,ResearchLab,Pune,770452,1528744,Hybrid,Senior,200-500,"Machine Learning, Docker, Hadoop",2026-04-18,We are a technology company focused on data analytics and AI solutions.,1149598.0
115,Data Analyst,Analytics Pro,Delhi,729725,1542488,Hybrid,Mid,10-50,"Excel, Power BI, JavaScript, SQL, TensorFlow, Docker",2026-03-24,We are a technology company focused on data analytics and AI solutions.,1136106.5
116,Senior Data Analyst,ResearchLab,Bangalore,342534,1435567,Onsite,Entry,50-200,"Excel, Machine Learning, DAX, Python",2026-05-28,We are a technology company focused on data analytics and AI solutions.,889050.5
117,Data Engineer,TechVision,Gurgaon,795518,1482568,Remote,Senior,500+,"Google Cloud, Machine Learning, DAX, Kubernetes",2026-03-30,We are a technology company focused on data analytics and AI solutions.,1139043.0
118,Data Analyst Junior,Finance Inc,Kolkata,392241,1442804,Hybrid,Entry,200-500,"JavaScript, Visualization, Google Cloud, Machine Learning, TensorFlow",2026-03-19,We are a technology company focused on data analytics and AI solutions.,917522.5
119,Research Analyst,TechVision,Hyderabad,712003,1322828,Hybrid,Lead,500+,"Airflow, DAX, R, JavaScript, Docker",2026-04-03,We are a technology company focused on data analytics and AI solutions.,1017415.5
120,Data Analyst Junior,DataFirst,Bangalore,426209,1278366,Hybrid,Mid,200-500,"Visualization, SQL, R, PyTorch, Kubernetes, Excel",2026-03-09,We are a technology company focused on data analytics and AI solutions.,852287.5
121,BI Developer,Tech Corp,Gurgaon,742061,1521384,Remote,Senior,50-200,"AWS, TensorFlow, Excel, JavaScript, Machine Learning",2026-05-06,We are a technology company focused on data analytics and AI solutions.,1131722.5
122,Marketing Analyst,Tech Corp,Delhi,489004,1757386,Hybrid,Mid,50-200,"Python, Azure, AWS",2026-04-27,We are a technology company focused on data analytics and AI solutions.,1123195.0
123,Research Analyst,DataFirst,Hyderabad,392124,1219139,Hybrid,Senior,200-500,"JavaScript, AWS, Python, SQL, Docker, Hadoop",2026-03-12,We are a technology company focused on data analytics and AI solutions.,805631.5
124,BI Developer,StartupXYZ,Delhi,391659,1319777,Hybrid,Lead,10-50,"Docker, TensorFlow, Power BI",2026-05-02,We are a technology company focused on data analytics and AI solutions.,855718.0
125,Analytics Manager,TechVision,Pune,464134,1032549,Hybrid,Entry,50-200,"Power BI, JavaScript, Tableau, PyTorch, Kubernetes",2026-05-06,We are a technology company focused on data analytics and AI solutions.,748341.5
126,Marketing Analyst,ProductCo,Delhi,375713,1284965,Hybrid,Lead,200-500,"AWS, Spark, Google Cloud, TensorFlow",2026-03-17,We are a technology company focused on data analytics and AI solutions.,830339.0
127,Data Scientist,Analytics Pro,Pune,518335,1590546,Onsite,Mid,10-50,"Python, Excel, Machine Learning, TensorFlow, JavaScript, Visualization",2026-05-12,We are a technology company focused on data analytics and AI solutions.,1054440.5
128,Data Analyst,InfoTech,Pune,788972,1782469,Remote,Mid,200-500,"Tableau, Power BI, Airflow",2026-06-01,We are a technology company focused on data analytics and AI solutions.,1285720.5
129,Research Analyst,Finance Inc,Hyderabad,753677,836321,Onsite,Mid,50-200,"Excel, JavaScript, Visualization, Airflow, Spark, Kubernetes",2026-04-20,We are a technology company focused on data analytics and AI solutions.,794999.0
130,Research Analyst,Tech Corp,Bangalore,375418,1135441,Hybrid,Mid,500+,"Hadoop, JavaScript, Visualization, Excel",2026-05-27,We are a technology company focused on data analytics and AI solutions.,755429.5
131,Analytics Manager,StartupXYZ,Mumbai,759888,956498,Remote,Entry,10-50,"AWS, Machine Learning, Airflow, Google Cloud",2026-03-10,We are a technology company focused on data analytics and AI solutions.,858193.0
132,Data Engineer,Digital Solutions,Chennai,428232,1866348,Remote,Mid,50-200,"R, DAX, AWS",2026-05-06,We are a technology company focused on data analytics and AI solutions.,1147290.0
133,Business Analyst,Analytics Pro,Bangalore,728048,1590144,Remote,Mid,200-500,"Python, TensorFlow, Kubernetes, Spark",2026-06-02,We are a technology company focused on data analytics and AI solutions.,1159096.0
134,Marketing Analyst,TechVision,Mumbai,463038,1194583,Onsite,Senior,50-200,"TensorFlow, Spark, Machine Learning, Excel, SQL, Hadoop",2026-04-15,We are a technology company focused on data analytics and AI solutions.,828810.5
135,Analytics Manager,Finance Inc,Delhi,765761,1038389,Onsite,Senior,200-500,"SQL, Hadoop, Google Cloud, R, JavaScript",2026-03-31,We are a technology company focused on data analytics and AI solutions.,902075.0
136,Product Analyst,Digital Solutions,Bangalore,706203,1439430,Onsite,Mid,200-500,"TensorFlow, Excel, Machine Learning, SQL, Google Cloud",2026-05-15,We are a technology company focused on data analytics and AI solutions.,1072816.5
137,Senior Data Analyst,TechVision,Delhi,468383,1900500,Hybrid,Mid,10-50,"Visualization, Airflow, Spark, PyTorch, AWS, Python",2026-04-13,We are a technology company focused on data analytics and AI solutions.,1184441.5
138,Business Analyst,ResearchLab,Chennai,593719,1876299,Hybrid,Entry,50-200,"Airflow, AWS, DAX, Python, PyTorch",2026-03-11,We are a technology company focused on data analytics and AI solutions.,1235009.0
139,Data Analyst,Digital Solutions,Mumbai,625996,1558470,Remote,Entry,50-200,"Airflow, Azure, R, PyTorch",2026-04-28,We are a technology company focused on data analytics and AI solutions.,1092233.0
